LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP6,P1,GeoProbe,159.1692,1.945,0.3,22.65,,45.96,0.02,29.75,99.14,34.38,40.68,-6.36,-41.65,0.15,0.09,58.77,0.03,13.63,15.16,0.09,39.69,0.01,0.27,,,
LOOP6,P1,GeoProbe,159.1692,1.95,0.3,22.65,-0.05,45.96,0.02,29.75,99.14,34.38,40.68,-6.36,-41.65,0.15,0.09,58.77,0.03,13.63,15.16,0.09,39.69,0.01,0.27,,,
LOOP6,P1,GeoProbe,159.1692,2.2,,,,,,,,,,,,,,,,,,,,,,326.4,476.1,0.69
LOOP6,P1,GeoProbe,159.1692,2.405,0.71,41.38,0.24,0.2,0.02,144.42,521.82,,,,,0.15,0.13,63.27,0.19,7.17,9.25,0.28,32.3,0.09,0.35,,,
LOOP6,P1,GeoProbe,159.1692,2.41,0.71,41.38,0.24,0.2,0.02,144.42,521.82,,,,,0.15,0.13,63.27,0.19,7.17,9.25,0.28,32.3,0.09,0.35,,,
LOOP6,P1,GeoProbe,159.1692,3.51,,,,,,,,,,,,,,,,,,,,,,312,476.5,0.65
LOOP6,P1,GeoProbe,159.1692,3.615,0.72,28.11,0.06,0.09,0.02,89.24,711.53,63.86,17.08,-6.69,-45.37,0.15,0.12,49.15,0.11,12.35,6.69,0.46,24.56,0.03,0.29,,,
LOOP6,P1,GeoProbe,159.1692,3.62,0.72,28.11,0.06,0.09,0.02,89.24,711.53,63.86,17.08,-6.69,-45.37,0.15,0.12,49.15,0.11,12.35,6.69,0.46,24.56,0.03,0.29,,,
LOOP6,P1,GeoProbe,159.1692,4.485,,,,,,,,,,,,,,,,,,,,,,339.4,396.9,0.86
LOOP6,P1,GeoProbe,159.1692,4.835,1.54,34.47,0.17,0.29,0.02,89.49,539.27,74.59,36.79,-6.92,-46.56,0.13,0.11,88.25,0.03,6.78,7.81,0.34,34.45,0.03,0.31,,,
LOOP6,P1,GeoProbe,159.1692,4.84,1.54,34.47,0.17,0.29,0.02,89.49,539.27,74.59,36.79,-6.92,-46.56,0.13,0.11,88.25,0.03,6.78,7.81,0.34,34.45,0.03,0.31,,,
LOOP6,P1,GeoProbe,159.1692,5.96,,,,,,,,,,,,,,,,,,,,,,493.9,518.2,0.95
LOOP6,P1,GeoProbe,159.1692,6.055,0.69,22,0.07,0.05,0.02,65.58,193.82,41.92,34.83,-6.87,-46.34,0.13,0.1,74.39,0.03,2.2,5.74,0.36,19.6,0.01,0.24,,,
LOOP6,P1,GeoProbe,159.1692,6.06,0.69,22,0.07,0.05,0.02,65.58,193.82,41.92,34.83,-6.87,-46.34,0.13,0.1,74.39,0.03,2.2,5.74,0.36,19.6,0.01,0.24,,,
LOOP6,P2,GeoProbe,159.1693,1.915,,,,,,,,,,,,,,,,,,,,,,1127.9,1321.9,0.85
LOOP6,P2,GeoProbe,159.1693,2.005,0.45,47.22,0.02,0.02,0.02,157.29,58.91,27.38,5.42,-6.57,-44.07,0.2,0.08,66.79,0.09,2.38,3.77,0.13,36.09,0.13,0.22,,,
LOOP6,P2,GeoProbe,159.1693,2.01,0.45,47.22,0.02,0.02,0.02,157.29,58.91,27.38,5.42,-6.57,-44.07,0.2,0.08,66.79,0.09,2.38,3.77,0.13,36.09,0.13,0.22,,,
LOOP6,P2,GeoProbe,159.1693,2.395,1.25,31.39,0.09,0.06,0.02,83.07,383.83,41.12,22.71,-7.12,-46.85,0.16,0.15,66.08,0.1,10.09,6.78,0.79,20.69,0.02,0.27,,,
LOOP6,P2,GeoProbe,159.1693,2.4,1.25,31.39,0.09,0.06,0.02,83.07,383.83,41.12,22.71,-7.12,-46.85,0.16,0.15,66.08,0.1,10.09,6.78,0.79,20.69,0.02,0.27,,,
LOOP6,P2,GeoProbe,159.1693,3.375,,,,,,,,,,,,,,,,,,,,,,1447.2,1242.2,1.16
LOOP6,P2,GeoProbe,159.1693,3.615,0.51,23.26,0.02,0.16,0.02,76.71,,,,,,,,,,,,,,,,,,
LOOP6,P2,GeoProbe,159.1693,3.62,0.51,23.26,0.02,0.16,0.02,76.71,,,,,,,,,,,,,,,,,,
LOOP6,P2,GeoProbe,159.1693,4.49,,,,,,,,,,,,,,,,,,,,,,1197.3,1285.1,0.93
LOOP6,P2,GeoProbe,159.1693,4.835,0.56,21.9,0.07,0.92,0.02,56.84,187.37,38.27,36.81,-7.07,-47.35,0.15,0.09,73.43,0.03,2.87,5.67,0.37,17.49,0.01,0.23,,,
LOOP6,P2,GeoProbe,159.1693,4.84,0.56,21.9,0.07,0.92,0.02,56.84,187.37,38.27,36.81,-7.07,-47.35,0.15,0.09,73.43,0.03,2.87,5.67,0.37,17.49,0.01,0.23,,,
LOOP6,P2A,GeoProbe,159.1694,2.045,0.34,14.56,0.02,0.02,0.02,66.26,87.8,42.43,51.7,-6.36,-42.24,0.21,0.07,107.31,0.3,1.99,4.42,0.13,13.2,0.09,0.26,,,
LOOP6,P2A,GeoProbe,159.1694,2.05,0.34,14.56,0.02,0.02,0.02,66.26,87.8,42.43,51.7,-6.36,-42.24,0.21,0.07,107.31,0.3,1.99,4.42,0.13,13.2,0.09,0.26,,,
LOOP6,P2A,GeoProbe,159.1694,2.14,,,,,,,,,,,,,,,,,,,,,,107,212.5,0.5
LOOP6,P2A,GeoProbe,159.1694,2.4,0.56,30.82,0.11,0.02,0.02,216.34,173.74,44.65,41.89,-6.74,-44.09,0.14,0.17,155.19,0.1,5.07,6.31,0.9,17.8,0.05,0.38,,,
LOOP6,P2A,GeoProbe,159.1694,2.485,0.88,30.01,0.08,0.02,0.02,51.37,396.27,33.25,51.99,-7.06,-46.3,0.2,0.14,105.4,0.9,3.53,5.49,1.54,13.87,0.03,0.3,,,
LOOP6,P2A,GeoProbe,159.1694,2.49,0.88,30.01,0.08,0.02,0.02,51.37,396.27,33.25,51.99,-7.06,-46.3,0.2,0.14,105.4,0.9,3.53,5.49,1.54,13.87,0.03,0.3,,,
LOOP6,P2A,GeoProbe,159.1694,3.615,1.1,34.15,0.14,0.17,0.02,67.22,623.77,48.56,42.82,-6.85,-45.57,0.14,0.08,92.53,0.45,2.61,5.14,0.78,18.33,0.01,0.21,,,
LOOP6,P2A,GeoProbe,159.1694,3.62,1.1,34.15,0.14,0.17,0.02,67.22,623.77,48.56,42.82,-6.85,-45.57,0.14,0.08,92.53,0.45,2.61,5.14,0.78,18.33,0.01,0.21,,,
LOOP6,P2A,GeoProbe,159.1694,4.835,0.65,23.6,0.02,0.13,0.02,62.36,395.39,48.66,37.55,-6.62,-45.23,0.2,0.09,90.56,0.63,2.09,5.5,0.81,16.99,0.09,0.21,,,
LOOP6,P2A,GeoProbe,159.1694,4.84,0.65,23.6,0.02,0.13,0.02,62.36,395.39,48.66,37.55,-6.62,-45.23,0.2,0.09,90.56,0.63,2.09,5.5,0.81,16.99,0.09,0.21,,,
LOOP6,P3,GeoProbe,159.1695,2.395,0.19,56.85,0.18,128.58,0.3,20.62,298.44,32.48,2.11,-7.02,-48.58,0.17,0.05,57.87,0.12,13.17,8.2,0.47,22.97,0.58,0.14,0.3,39.3,0.01
